#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
guardian_of_faith_christian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_ainu_pantheism_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_south_bantu_mythology;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_south_bantu_mythology_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_east_bantu_mythology;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_east_bantu_mythology_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_omotic_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_omotic_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_cushitic_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_cushitic_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_nilotic_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_nilotic_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_khoi_san_mythology;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_khoi_san_mythology_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_inuit_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_inuit_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_algic_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_algic_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_dreamtime_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_dreamtime_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_animism;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_animism_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_inti;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_inti_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_south_american;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_south_american_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_maori_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_maori_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_tuniit_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_tuniit_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_hindu;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_hindu_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_buddhist;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_buddhist_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_jain;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_jain_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_taoist;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_taoist_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_nat;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_nat_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_sastsana_phi;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_sastsana_phi_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_rmagao;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_rmagao_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_shenjiao;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_shenjiao_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_benzhujiao;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_benzhujiao_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_bimojiao;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_bimojiao_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_ua_dab;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_ua_dab_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_nugyauq;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_nugyauq_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_thangiao;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_thangiao_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_shingyo;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_shingyo_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_nihon_shinto;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_nihon_shinto_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_ryukyu_shinto;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_ryukyu_shinto_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_confucian;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_confucian_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_luciferian;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_luciferian_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_hadesian;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_hadesian_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_osirisian;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_osirisian_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_satanism;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_satanism_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
restorer_of_the_legions;Blood of the Restorer of the Legions;Lignée du Restaurateur des Légions ;Blood of the Restorer of the Legions;;Blood of the Restorer of the Legions;;;;;;;;;x
LEGATUS;Legatus ;Legatus ;Legatus ;;Legatus ;;;;;;;;;x
EVTTITLEOLDORDER.0001;A New Guardian of the Faith;Un Nouveau Gardien de la Foi;A New Guardian of the Faith;;A New Guardian of the Faith;;;;;;;;;x
EVTDESCOLDORDER.0001;You are now at the master of this order. You are one of the battlements against infidels' threat. All your coreligionists count of you to protect them.;Vous êtes désormais à la tête de cet ordre. Vous représentez un des remparts pour votre religion contre la menace des infidèles. Vos coreligionnaires comptent sur vous pour les protéger. ;You are now at the master of this order. You are one of the battlements against infidels' threat. All your coreligionists count of you to protect them.;;You are now at the master of this order. You are one of the battlements against infidels' threat. All your coreligionists count of you to protect them.;;;;;;;;;x
EVTOPTAOLDORDER.0001;I would fulfill my duty with honor.;J'accomplirais mon devoir avec honneur. ;I would fulfill my duty with honor.;;I would fulfill my duty with honor.;;;;;;;;;x
EVTTITLEOLDORDER.0028;A bad Guardian of Faith… ;Un Gardien de la Foi répudié… ;A bad Guardian of Faith… ;;A bad Guardian of Faith… ;;;;;;;;;x
EVTDESCOLDORDER.0028;Since you have been a Guardian of the Faith, you have gone astray. If you dig a Minor Order, it could be destroyed if you do not have enough Piety! To be able to redeem you (pilgrimage, holy war, ...), you MUST erase your excommunication / decadence.;Depuis que vous êtes un Gardien de la Foi, vous vous êtes éloignés du droit chemin. Si vous digirez un Ordre Mineur, il pourrait être détruit si vous n'avez pas assez de Piété ! Pour pouvoir vous racheter (pélerinage, guerre sainte,...), vous DEVEZ effacer votre excommunication/décadence. ;Since you have been a Guardian of the Faith, you have gone astray. If you dig a Minor Order, it could be destroyed if you do not have enough Piety! To be able to redeem you (pilgrimage, holy war, ...), you MUST erase your excommunication / decadence.;;Since you have been a Guardian of the Faith, you have gone astray. If you dig a Minor Order, it could be destroyed if you do not have enough Piety! To be able to redeem you (pilgrimage, holy war, ...), you MUST erase your excommunication / decadence.;;;;;;;;;x
EVTOPTAOLDORDER.0028;Let's go on pilgrimage then !;Partons en pèlerinage alors !;Let's go on pilgrimage then !;;Let's go on pilgrimage then !;;;;;;;;;x
EVTOPTBOLDORDER.0028;Let's go on pilgrimage then !;Partons en pèlerinage alors !;Let's go on pilgrimage then !;;Let's go on pilgrimage then !;;;;;;;;;x
EVTOPTCOLDORDER.0028;Let's go on Hajj then !;Partons au Hajj alors !;Let's go on Hajj then !;;Let's go on Hajj then !;;;;;;;;;x
EVTOPTDOLDORDER.0028;Let's make this donation !;Faisons cette donation !;Let's make this donation !;;Let's make this donation !;;;;;;;;;x
